payment_id,amount,failure_reason,payment_method,retry_count,customer_success_rate,ml_recovery_probability,expected_recovery_value,base_simulation_probability,recommended_action,decision_status,decision_reason,policy_allowed,policy_status,policy_reason,requires_human,recoverai_action_probability,baseline_action,baseline_probability,baseline_success,baseline_recovered_amount,recoverai_success,recoverai_recovered_amount
PAY_0001838,1131.82,INSUFFICIENT_FUNDS,NETBANKING,1,0.824,0.537,607.74,0.5534,PAYMENT_REMINDER,APPROVED,Insufficient funds detected. Immediate automatic retry may not help; customer should retry after resolving the balance.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.6087,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0012082,1005.41,BANK_DECLINED,WALLET,2,0.585,0.1573,158.12,0.2097,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0009688,703.91,BANK_TIMEOUT,WALLET,2,0.944,0.665,468.1,0.6954,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0005926,564.73,BANK_TIMEOUT,WALLET,2,1.0,0.6722,379.63,0.715,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0007835,819.31,CARD_EXPIRED,NETBANKING,2,0.864,0.1583,129.66,0.1774,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0019312,5183.55,NETWORK_ERROR,NETBANKING,0,0.786,0.7305,3786.7,0.8001,RETRY,APPROVED,Temporary failure with high recovery probability. Automatic retry is suitable.,True,APPROVED,Retry satisfies all automatic recovery policy requirements.,False,0.8001,RETRY,0.8001,0,0.0,0,0.0
PAY_0004778,1907.0,BANK_DECLINED,WALLET,2,0.719,0.2191,417.9,0.2566,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0012387,5153.14,INSUFFICIENT_FUNDS,NETBANKING,2,0.833,0.4213,2171.03,0.4565,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0006890,1072.18,NETWORK_ERROR,WALLET,2,0.879,0.5475,587.0,0.6326,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0016355,15987.63,NETWORK_ERROR,WALLET,1,0.69,0.6349,10149.9,0.6665,HUMAN_REVIEW,ESCALATED,High-value payment requires additional review before automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,RETRY,0.6132,0,0.0,0,0.0
PAY_0007455,15085.51,BANK_TIMEOUT,WALLET,1,0.8,0.7025,10597.95,0.745,HUMAN_REVIEW,ESCALATED,High-value payment requires additional review before automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,RETRY,0.6854,0,0.0,0,0.0
PAY_0013759,1367.45,BANK_TIMEOUT,NETBANKING,1,0.628,0.6493,887.89,0.6848,PAYMENT_REMINDER,APPROVED,Temporary failure with moderate recovery probability. Customer intervention is preferred.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.6163,RETRY,0.63,1,1367.45,1,1367.45
PAY_0007825,1099.47,CARD_EXPIRED,CARD,0,0.844,0.3291,361.88,0.3804,UPDATE_PAYMENT_METHOD,APPROVED,Payment method has expired. Customer should update the payment method before attempting payment again.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.8804,NO_ACTION,0.0,0,0.0,1,1099.47
PAY_0003059,2947.05,NETWORK_ERROR,NETBANKING,0,0.952,0.8662,2552.78,0.8582,RETRY,APPROVED,Temporary failure with high recovery probability. Automatic retry is suitable.,True,APPROVED,Retry satisfies all automatic recovery policy requirements.,False,0.8582,RETRY,0.8582,1,2947.05,1,2947.05
PAY_0004125,1940.45,BANK_TIMEOUT,NETBANKING,0,0.897,0.8748,1697.57,0.879,RETRY,APPROVED,Temporary failure with high recovery probability. Automatic retry is suitable.,True,APPROVED,Retry satisfies all automatic recovery policy requirements.,False,0.879,RETRY,0.879,1,1940.45,1,1940.45
PAY_0012594,4947.98,BANK_DECLINED,CARD,1,0.647,0.2938,1453.58,0.3415,HUMAN_REVIEW,ESCALATED,Bank decline has insufficient confidence for automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0007968,542.68,INSUFFICIENT_FUNDS,NETBANKING,1,0.75,0.3272,177.54,0.5275,PAYMENT_REMINDER,APPROVED,Insufficient funds detected. Immediate automatic retry may not help; customer should retry after resolving the balance.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.5803,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0009022,1268.02,NETWORK_ERROR,NETBANKING,0,0.944,0.8305,1053.04,0.8554,RETRY,APPROVED,Temporary failure with high recovery probability. Automatic retry is suitable.,True,APPROVED,Retry satisfies all automatic recovery policy requirements.,False,0.8554,RETRY,0.8554,0,0.0,0,0.0
PAY_0011807,596.77,NETWORK_ERROR,NETBANKING,1,0.684,0.5763,343.9,0.6644,PAYMENT_REMINDER,APPROVED,Temporary failure with moderate recovery probability. Customer intervention is preferred.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.598,RETRY,0.6112,1,596.77,1,596.77
PAY_0010920,2632.08,NETWORK_ERROR,UPI,0,0.911,0.8523,2243.41,0.8739,RETRY,APPROVED,Temporary failure with high recovery probability. Automatic retry is suitable.,True,APPROVED,Retry satisfies all automatic recovery policy requirements.,False,0.8739,RETRY,0.8739,1,2632.08,1,2632.08
PAY_0014675,1770.39,BANK_DECLINED,NETBANKING,1,0.814,0.3608,638.81,0.3899,HUMAN_REVIEW,ESCALATED,Bank decline has insufficient confidence for automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0001965,12153.98,BANK_DECLINED,WALLET,0,0.793,0.3835,4660.68,0.4826,HUMAN_REVIEW,ESCALATED,Bank decline has insufficient confidence for automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0013105,983.08,CARD_EXPIRED,UPI,0,0.72,0.3612,355.07,0.357,UPDATE_PAYMENT_METHOD,APPROVED,Payment method has expired. Customer should update the payment method before attempting payment again.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.857,NO_ACTION,0.0,0,0.0,1,983.08
PAY_0009151,2245.2,BANK_TIMEOUT,WALLET,2,0.63,0.5484,1231.29,0.5855,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0007909,2805.68,BANK_DECLINED,WALLET,2,0.771,0.2173,609.6,0.2748,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0006442,340.37,INSUFFICIENT_FUNDS,NETBANKING,2,0.714,0.2947,100.29,0.4149,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0002560,1164.32,BANK_DECLINED,NETBANKING,2,0.909,0.2332,271.57,0.3231,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0014876,3657.4,BANK_DECLINED,NETBANKING,2,1.0,0.2218,811.32,0.355,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0002242,1832.04,NETWORK_ERROR,CARD,0,0.351,0.6493,1189.6,0.6578,PAYMENT_REMINDER,APPROVED,Temporary failure with moderate recovery probability. Customer intervention is preferred.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.5921,RETRY,0.6578,1,1832.04,0,0.0
PAY_0003860,310.01,INSUFFICIENT_FUNDS,CARD,0,0.955,0.5867,181.89,0.7093,PAYMENT_REMINDER,APPROVED,Insufficient funds detected. Immediate automatic retry may not help; customer should retry after resolving the balance.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.7802,NO_ACTION,0.0,0,0.0,1,310.01
PAY_0017508,7417.94,BANK_DECLINED,UPI,1,0.725,0.3696,2742.04,0.3888,HUMAN_REVIEW,ESCALATED,Bank decline has insufficient confidence for automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0019062,923.87,BANK_TIMEOUT,CARD,1,0.75,0.7287,673.18,0.7375,RETRY,APPROVED,Temporary failure with high recovery probability. Automatic retry is suitable.,True,APPROVED,Retry satisfies all automatic recovery policy requirements.,False,0.6785,RETRY,0.6785,1,923.87,1,923.87
PAY_0011151,2552.46,CARD_EXPIRED,NETBANKING,0,0.786,0.3036,774.83,0.3501,UPDATE_PAYMENT_METHOD,APPROVED,Payment method has expired. Customer should update the payment method before attempting payment again.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.8501,NO_ACTION,0.0,0,0.0,1,2552.46
PAY_0004724,2633.1,BANK_TIMEOUT,UPI,1,0.895,0.734,1932.71,0.8083,RETRY,APPROVED,Temporary failure with high recovery probability. Automatic retry is suitable.,True,APPROVED,Retry satisfies all automatic recovery policy requirements.,False,0.7436,RETRY,0.7436,0,0.0,0,0.0
PAY_0000121,501.66,BANK_DECLINED,CARD,2,0.842,0.3064,153.7,0.3097,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0012334,2919.83,BANK_TIMEOUT,WALLET,1,0.889,0.7149,2087.47,0.7762,RETRY,APPROVED,Temporary failure with high recovery probability. Automatic retry is suitable.,True,APPROVED,Retry satisfies all automatic recovery policy requirements.,False,0.7141,RETRY,0.7141,1,2919.83,1,2919.83
PAY_0007126,2690.31,BANK_DECLINED,CARD,0,0.906,0.4834,1300.6,0.5321,HUMAN_REVIEW,ESCALATED,Bank decline has insufficient confidence for automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0006319,3789.77,BANK_TIMEOUT,WALLET,1,0.9,0.7056,2674.0,0.78,RETRY,APPROVED,Temporary failure with high recovery probability. Automatic retry is suitable.,True,APPROVED,Retry satisfies all automatic recovery policy requirements.,False,0.7176,RETRY,0.7176,0,0.0,0,0.0
PAY_0009120,6587.83,NETWORK_ERROR,NETBANKING,2,0.897,0.5713,3763.83,0.6389,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0019216,2484.25,INSUFFICIENT_FUNDS,NETBANKING,2,0.95,0.4332,1076.22,0.4975,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0004923,783.53,NETWORK_ERROR,UPI,0,0.821,0.8049,630.67,0.8423,RETRY,APPROVED,Temporary failure with high recovery probability. Automatic retry is suitable.,True,APPROVED,Retry satisfies all automatic recovery policy requirements.,False,0.8423,RETRY,0.8423,1,783.53,1,783.53
PAY_0001870,2213.15,UNKNOWN_ERROR,WALLET,2,0.846,0.2178,482.13,0.2711,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0006255,1214.8,INSUFFICIENT_FUNDS,WALLET,1,0.846,0.5039,612.2,0.5611,PAYMENT_REMINDER,APPROVED,Insufficient funds detected. Immediate automatic retry may not help; customer should retry after resolving the balance.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.6172,NO_ACTION,0.0,0,0.0,1,1214.8
PAY_0018412,1770.04,NETWORK_ERROR,NETBANKING,2,0.951,0.583,1031.95,0.6578,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0017785,304.73,UNKNOWN_ERROR,UPI,1,0.8,0.4015,122.36,0.385,HUMAN_REVIEW,ESCALATED,Unknown failure with insufficient confidence for automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0003813,487.6,BANK_DECLINED,CARD,1,0.938,0.4308,210.08,0.4433,HUMAN_REVIEW,ESCALATED,Bank decline has insufficient confidence for automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0007562,333.61,INSUFFICIENT_FUNDS,UPI,2,0.955,0.5128,171.07,0.5292,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0010625,2636.66,BANK_DECLINED,CARD,1,0.643,0.3996,1053.5,0.34,HUMAN_REVIEW,ESCALATED,Bank decline has insufficient confidence for automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0011142,1324.39,BANK_TIMEOUT,CARD,1,0.4,0.6743,893.02,0.615,PAYMENT_REMINDER,APPROVED,Temporary failure with moderate recovery probability. Customer intervention is preferred.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.5535,RETRY,0.5658,1,1324.39,1,1324.39
PAY_0004916,1324.46,BANK_DECLINED,WALLET,0,0.697,0.3783,501.09,0.4489,HUMAN_REVIEW,ESCALATED,Bank decline has insufficient confidence for automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0016344,5541.66,BANK_DECLINED,NETBANKING,1,0.783,0.2605,1443.85,0.379,HUMAN_REVIEW,ESCALATED,Bank decline has insufficient confidence for automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0015865,4790.32,INSUFFICIENT_FUNDS,WALLET,1,0.923,0.5499,2634.34,0.5881,PAYMENT_REMINDER,APPROVED,Insufficient funds detected. Immediate automatic retry may not help; customer should retry after resolving the balance.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.6469,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0004337,2202.03,CARD_EXPIRED,WALLET,1,0.872,0.3146,692.66,0.2802,UPDATE_PAYMENT_METHOD,APPROVED,Payment method has expired. Customer should update the payment method before attempting payment again.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.7802,NO_ACTION,0.0,0,0.0,1,2202.03
PAY_0004090,1669.79,BANK_DECLINED,CARD,0,0.886,0.4859,811.29,0.5251,HUMAN_REVIEW,ESCALATED,Bank decline has insufficient confidence for automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0012991,6650.27,BANK_DECLINED,CARD,0,0.889,0.3975,2643.73,0.5262,HUMAN_REVIEW,ESCALATED,Bank decline has insufficient confidence for automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0008287,2624.42,UNKNOWN_ERROR,WALLET,0,0.833,0.5076,1332.11,0.4665,HUMAN_REVIEW,ESCALATED,Unknown failure with insufficient confidence for automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0001190,1515.33,BANK_TIMEOUT,UPI,0,0.739,0.8265,1252.48,0.8537,RETRY,APPROVED,Temporary failure with high recovery probability. Automatic retry is suitable.,True,APPROVED,Retry satisfies all automatic recovery policy requirements.,False,0.8537,RETRY,0.8537,1,1515.33,1,1515.33
PAY_0006708,404.58,BANK_DECLINED,WALLET,1,0.9,0.4171,168.74,0.42,HUMAN_REVIEW,ESCALATED,Bank decline has insufficient confidence for automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0005729,2305.07,BANK_TIMEOUT,CARD,2,0.83,0.6359,1465.75,0.6655,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0001938,2632.36,INSUFFICIENT_FUNDS,UPI,2,0.923,0.5108,1344.56,0.5181,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0009155,2955.17,BANK_DECLINED,WALLET,1,1.0,0.338,998.8,0.455,HUMAN_REVIEW,ESCALATED,Bank decline has insufficient confidence for automated recovery.,False,ESCALATED,Payment requires human review.,True,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0011995,1320.4,INSUFFICIENT_FUNDS,CARD,0,0.68,0.554,731.52,0.613,PAYMENT_REMINDER,APPROVED,Insufficient funds detected. Immediate automatic retry may not help; customer should retry after resolving the balance.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.6743,NO_ACTION,0.0,0,0.0,1,1320.4
PAY_0014138,606.52,INSUFFICIENT_FUNDS,UPI,0,1.0,0.6671,404.59,0.745,PAYMENT_REMINDER,APPROVED,Insufficient funds detected. Immediate automatic retry may not help; customer should retry after resolving the balance.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.8195,NO_ACTION,0.0,0,0.0,1,606.52
PAY_0009558,3076.29,NETWORK_ERROR,WALLET,0,0.643,0.7345,2259.4,0.75,RETRY,APPROVED,Temporary failure with high recovery probability. Automatic retry is suitable.,True,APPROVED,Retry satisfies all automatic recovery policy requirements.,False,0.75,RETRY,0.75,1,3076.29,1,3076.29
PAY_0013734,810.12,CARD_EXPIRED,WALLET,2,0.704,0.1,81.04,0.1214,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0001120,5682.91,NETWORK_ERROR,WALLET,1,0.781,0.6265,3560.26,0.6984,PAYMENT_REMINDER,APPROVED,Temporary failure with moderate recovery probability. Customer intervention is preferred.,True,APPROVED,Customer-facing recovery action is permitted.,False,0.6285,RETRY,0.6425,1,5682.91,1,5682.91
PAY_0002868,1178.16,INSUFFICIENT_FUNDS,NETBANKING,2,0.708,0.347,408.8,0.4128,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
PAY_0006658,1556.24,NETWORK_ERROR,NETBANKING,0,0.938,0.818,1272.99,0.8533,RETRY,APPROVED,Temporary failure with high recovery probability. Automatic retry is suitable.,True,APPROVED,Retry satisfies all automatic recovery policy requirements.,False,0.8533,RETRY,0.8533,1,1556.24,1,1556.24
PAY_0006716,1845.14,BANK_DECLINED,UPI,2,0.5,0.2117,390.56,0.21,STOP,BLOCKED,Maximum recovery attempts reached. Further automated recovery is stopped.,False,STOPPED,Recovery action stopped by decision policy.,False,0.0,NO_ACTION,0.0,0,0.0,0,0.0
