payment_id,customer_id,merchant_id,amount,payment_method,transaction_time,payment_status,failure_reason,retry_count,previous_payment_count,previous_success_count,customer_success_rate,days_since_last_payment,customer_lifetime_value,recovered,recovered_amount
PAY_0000034,CUST_01963,DEV_CLOTHING_STORE,891.58,WALLET,2026-06-03 15:16:23.489187,FAILED,NETWORK_ERROR,1,45,36,0.8,165,2100.85,1,891.58
PAY_0000035,CUST_01915,DEV_CLOTHING_STORE,2945.21,CARD,2026-04-19 09:31:23.489187,FAILED,INSUFFICIENT_FUNDS,1,8,5,0.625,36,4788.84,1,2945.21
PAY_0000036,CUST_04100,DEV_CLOTHING_STORE,1239.46,WALLET,2026-08-16 22:51:23.489187,FAILED,BANK_DECLINED,1,16,13,0.812,19,1972.21,1,1239.46
PAY_0000037,CUST_03807,DEV_CLOTHING_STORE,1083.67,NETBANKING,2026-07-25 18:25:23.489187,FAILED,CARD_EXPIRED,1,36,34,0.944,21,4568.81,0,0.0
PAY_0000038,CUST_01743,DEV_CLOTHING_STORE,354.58,UPI,2026-07-24 03:09:23.489187,FAILED,BANK_TIMEOUT,2,37,18,0.486,41,10282.03,0,0.0
PAY_0000039,CUST_03539,DEV_CLOTHING_STORE,1032.53,NETBANKING,2026-08-20 06:45:23.489187,FAILED,BANK_DECLINED,1,10,8,0.8,111,6902.9,1,1032.53
PAY_0000040,CUST_02635,DEV_CLOTHING_STORE,552.75,UPI,2026-06-13 18:28:23.489187,FAILED,INSUFFICIENT_FUNDS,0,19,15,0.789,102,28897.41,0,0.0
PAY_0000041,CUST_03385,DEV_CLOTHING_STORE,1214.96,UPI,2026-08-04 10:21:23.489187,FAILED,BANK_DECLINED,2,37,31,0.838,66,2083.41,0,0.0
PAY_0000042,CUST_01012,DEV_CLOTHING_STORE,6006.55,UPI,2026-03-17 15:45:23.489187,FAILED,INSUFFICIENT_FUNDS,0,28,18,0.643,14,3350.7,1,6006.55
PAY_0000043,CUST_01815,DEV_CLOTHING_STORE,6545.99,NETBANKING,2026-07-20 02:40:23.489187,FAILED,CARD_EXPIRED,0,49,36,0.735,168,6324.04,0,0.0
PAY_0000044,CUST_02974,DEV_CLOTHING_STORE,636.91,WALLET,2026-03-15 03:22:23.489187,FAILED,BANK_DECLINED,2,28,22,0.786,142,1375.72,0,0.0
PAY_0000045,CUST_01397,DEV_CLOTHING_STORE,1091.81,CARD,2026-07-08 17:51:23.489187,FAILED,BANK_TIMEOUT,1,32,31,0.969,138,6338.33,0,0.0
PAY_0000046,CUST_01868,DEV_CLOTHING_STORE,2516.97,NETBANKING,2026-06-26 20:35:23.489187,FAILED,INSUFFICIENT_FUNDS,1,50,37,0.74,13,4971.35,1,2516.97
PAY_0000047,CUST_03499,DEV_CLOTHING_STORE,1324.63,WALLET,2026-05-24 03:50:23.489187,FAILED,NETWORK_ERROR,0,26,17,0.654,60,4363.12,0,0.0
PAY_0000048,CUST_01840,DEV_CLOTHING_STORE,633.52,UPI,2026-08-02 03:51:23.489187,FAILED,INSUFFICIENT_FUNDS,0,46,31,0.674,34,1880.51,0,0.0
PAY_0000049,CUST_01849,DEV_CLOTHING_STORE,1449.33,UPI,2026-02-28 00:25:23.489187,FAILED,INSUFFICIENT_FUNDS,0,6,4,0.667,163,1939.84,1,1449.33
PAY_0000050,CUST_02739,DEV_CLOTHING_STORE,7794.01,CARD,2026-08-13 17:04:23.489187,FAILED,BANK_TIMEOUT,2,14,11,0.786,83,3085.32,1,7794.01
PAY_0000051,CUST_00784,DEV_CLOTHING_STORE,994.72,UPI,2026-07-15 10:05:23.489187,FAILED,BANK_TIMEOUT,1,26,24,0.923,153,2049.91,1,994.72
PAY_0000052,CUST_03538,DEV_CLOTHING_STORE,422.19,WALLET,2026-04-06 09:07:23.489187,FAILED,BANK_DECLINED,2,46,43,0.935,135,5886.62,0,0.0
PAY_0000053,CUST_03715,DEV_CLOTHING_STORE,2142.16,UPI,2026-05-16 14:32:23.489187,FAILED,INSUFFICIENT_FUNDS,2,27,22,0.815,146,1718.25,1,2142.16
PAY_0000054,CUST_00842,DEV_CLOTHING_STORE,1601.32,NETBANKING,2026-04-28 15:22:23.489187,FAILED,NETWORK_ERROR,2,23,20,0.87,41,2237.22,1,1601.32
PAY_0000055,CUST_01524,DEV_CLOTHING_STORE,1566.11,NETBANKING,2026-04-20 14:15:23.489187,FAILED,INSUFFICIENT_FUNDS,2,22,15,0.682,106,2886.94,0,0.0
PAY_0000056,CUST_01208,DEV_CLOTHING_STORE,2014.35,CARD,2026-03-05 09:04:23.489187,FAILED,BANK_TIMEOUT,2,17,14,0.824,120,993.07,0,0.0
PAY_0000057,CUST_03458,DEV_CLOTHING_STORE,534.49,WALLET,2026-06-29 10:11:23.489187,FAILED,CARD_EXPIRED,1,24,19,0.792,49,2905.55,0,0.0
PAY_0000058,CUST_02713,DEV_CLOTHING_STORE,2128.04,UPI,2026-05-24 05:24:23.489187,FAILED,BANK_TIMEOUT,0,6,5,0.833,130,3337.61,1,2128.04
PAY_0000059,CUST_01887,DEV_CLOTHING_STORE,1048.7,WALLET,2026-04-01 07:41:23.489187,FAILED,NETWORK_ERROR,0,7,5,0.714,25,8727.82,1,1048.7
PAY_0000060,CUST_00605,DEV_CLOTHING_STORE,1672.78,NETBANKING,2026-03-02 22:28:23.489187,FAILED,UNKNOWN_ERROR,0,47,45,0.957,98,8298.68,1,1672.78
PAY_0000061,CUST_01427,DEV_CLOTHING_STORE,1362.46,UPI,2026-03-26 23:56:23.489187,FAILED,BANK_DECLINED,0,6,4,0.667,139,6724.88,1,1362.46
PAY_0000062,CUST_01125,DEV_CLOTHING_STORE,2827.52,NETBANKING,2026-07-20 07:21:23.489187,FAILED,NETWORK_ERROR,0,33,23,0.697,133,5293.6,0,0.0
PAY_0000063,CUST_03554,DEV_CLOTHING_STORE,2824.08,NETBANKING,2026-04-21 19:48:23.489187,FAILED,INSUFFICIENT_FUNDS,2,13,12,0.923,7,5820.55,1,2824.08
PAY_0000064,CUST_00379,DEV_CLOTHING_STORE,1941.27,NETBANKING,2026-07-31 20:11:23.489187,FAILED,BANK_TIMEOUT,2,32,28,0.875,5,3127.72,0,0.0
PAY_0000065,CUST_04006,DEV_CLOTHING_STORE,1172.76,WALLET,2026-07-09 17:09:23.489187,FAILED,BANK_DECLINED,2,6,5,0.833,4,3820.32,0,0.0
PAY_0000066,CUST_04251,DEV_CLOTHING_STORE,13799.56,WALLET,2026-04-12 19:01:23.489187,FAILED,INSUFFICIENT_FUNDS,2,50,43,0.86,70,5495.37,0,0.0
PAY_0000067,CUST_04784,DEV_CLOTHING_STORE,548.64,WALLET,2026-08-03 17:28:23.489187,FAILED,NETWORK_ERROR,0,26,22,0.846,147,6400.68,0,0.0
PAY_0000068,CUST_03065,DEV_CLOTHING_STORE,960.66,UPI,2026-05-18 15:22:23.489187,FAILED,INSUFFICIENT_FUNDS,1,18,13,0.722,53,8347.71,1,960.66
PAY_0000069,CUST_03831,DEV_CLOTHING_STORE,790.74,CARD,2026-04-12 07:10:23.489187,FAILED,INSUFFICIENT_FUNDS,1,22,18,0.818,143,3174.36,0,0.0
PAY_0000070,CUST_02413,DEV_CLOTHING_STORE,1243.05,CARD,2026-04-24 16:51:23.489187,FAILED,BANK_TIMEOUT,1,25,21,0.84,67,2666.46,1,1243.05
PAY_0000071,CUST_02249,DEV_CLOTHING_STORE,2996.99,NETBANKING,2026-02-24 11:56:23.489187,FAILED,BANK_DECLINED,1,4,4,1.0,68,5642.41,0,0.0
PAY_0000072,CUST_03309,DEV_CLOTHING_STORE,15849.09,CARD,2026-07-30 11:55:23.489187,FAILED,NETWORK_ERROR,0,22,19,0.864,120,2631.65,1,15849.09
PAY_0000073,CUST_01720,DEV_CLOTHING_STORE,5763.08,NETBANKING,2026-07-17 02:34:23.489187,FAILED,BANK_TIMEOUT,0,25,18,0.72,101,2793.02,1,5763.08
PAY_0000074,CUST_03422,DEV_CLOTHING_STORE,3150.52,NETBANKING,2026-08-13 16:13:23.489187,FAILED,CARD_EXPIRED,1,42,31,0.738,162,3632.24,0,0.0
PAY_0000075,CUST_02906,DEV_CLOTHING_STORE,2138.58,NETBANKING,2026-04-23 07:18:23.489187,FAILED,INSUFFICIENT_FUNDS,2,39,29,0.744,42,6587.73,0,0.0
PAY_0000076,CUST_01140,DEV_CLOTHING_STORE,5840.95,WALLET,2026-08-20 09:05:23.489187,FAILED,NETWORK_ERROR,1,12,7,0.583,180,22299.71,1,5840.95
PAY_0000077,CUST_03166,DEV_CLOTHING_STORE,869.73,CARD,2026-03-13 22:24:23.489187,FAILED,CARD_EXPIRED,0,49,36,0.735,21,6205.07,1,869.73
PAY_0000078,CUST_04943,DEV_CLOTHING_STORE,332.21,NETBANKING,2026-06-23 00:21:23.489187,FAILED,INSUFFICIENT_FUNDS,1,37,31,0.838,20,9165.83,1,332.21
PAY_0000079,CUST_04248,DEV_CLOTHING_STORE,506.19,WALLET,2026-05-21 00:09:23.489187,FAILED,CARD_EXPIRED,1,46,19,0.413,86,2725.3,0,0.0
PAY_0000080,CUST_01692,DEV_CLOTHING_STORE,1344.54,NETBANKING,2026-06-09 21:26:23.489187,FAILED,BANK_TIMEOUT,2,42,42,1.0,78,1962.56,1,1344.54
PAY_0000081,CUST_02257,DEV_CLOTHING_STORE,3319.85,NETBANKING,2026-08-07 15:49:23.489187,FAILED,INSUFFICIENT_FUNDS,1,24,15,0.625,139,2927.38,1,3319.85
PAY_0000082,CUST_04720,DEV_CLOTHING_STORE,1931.87,NETBANKING,2026-05-05 03:20:23.489187,FAILED,INSUFFICIENT_FUNDS,0,13,7,0.538,55,8938.74,1,1931.87
PAY_0000083,CUST_01472,DEV_CLOTHING_STORE,849.39,UPI,2026-04-07 13:53:23.489187,FAILED,BANK_DECLINED,0,16,7,0.438,106,448.78,1,849.39
PAY_0000084,CUST_04406,DEV_CLOTHING_STORE,6632.69,WALLET,2026-07-11 15:16:23.489187,FAILED,INSUFFICIENT_FUNDS,1,42,37,0.881,163,2600.9,1,6632.69
PAY_0000085,CUST_00862,DEV_CLOTHING_STORE,792.12,WALLET,2026-05-03 07:56:23.489187,FAILED,NETWORK_ERROR,1,4,2,0.5,57,1021.41,0,0.0
PAY_0000086,CUST_03250,DEV_CLOTHING_STORE,1672.02,WALLET,2026-05-17 22:20:23.489187,FAILED,BANK_TIMEOUT,2,50,37,0.74,38,4880.51,0,0.0
PAY_0000087,CUST_03586,DEV_CLOTHING_STORE,1918.71,CARD,2026-04-17 11:47:23.489187,FAILED,BANK_TIMEOUT,2,35,31,0.886,165,2983.3,1,1918.71
PAY_0000088,CUST_00636,DEV_CLOTHING_STORE,1112.86,CARD,2026-05-14 10:01:23.489187,FAILED,CARD_EXPIRED,2,22,20,0.909,15,7932.14,0,0.0
PAY_0000089,CUST_00843,DEV_CLOTHING_STORE,1128.42,CARD,2026-08-11 00:43:23.489187,FAILED,BANK_TIMEOUT,0,25,23,0.92,80,8968.45,1,1128.42
PAY_0000090,CUST_00132,DEV_CLOTHING_STORE,333.53,UPI,2026-07-18 00:27:23.489187,FAILED,BANK_DECLINED,2,28,24,0.857,49,11594.4,1,333.53
PAY_0000091,CUST_01369,DEV_CLOTHING_STORE,798.82,CARD,2026-08-12 00:47:23.489187,FAILED,INSUFFICIENT_FUNDS,1,29,26,0.897,132,3138.27,1,798.82
PAY_0000092,CUST_01752,DEV_CLOTHING_STORE,727.89,WALLET,2026-04-04 00:15:23.489187,FAILED,BANK_TIMEOUT,1,14,12,0.857,116,3003.22,1,727.89
PAY_0000093,CUST_03023,DEV_CLOTHING_STORE,15186.43,UPI,2026-07-02 15:44:23.489187,FAILED,INSUFFICIENT_FUNDS,2,20,14,0.7,144,5719.67,1,15186.43
PAY_0000094,CUST_00777,DEV_CLOTHING_STORE,2544.47,NETBANKING,2026-03-26 20:40:23.489187,FAILED,INSUFFICIENT_FUNDS,2,6,6,1.0,21,1516.19,1,2544.47
PAY_0000095,CUST_03950,DEV_CLOTHING_STORE,2412.8,CARD,2026-05-25 14:07:23.489187,FAILED,INSUFFICIENT_FUNDS,0,3,2,0.667,74,1839.64,1,2412.8
PAY_0000096,CUST_01017,DEV_CLOTHING_STORE,583.68,WALLET,2026-04-17 22:34:23.489187,FAILED,BANK_TIMEOUT,1,3,3,1.0,82,3481.11,1,583.68
PAY_0000097,CUST_00311,DEV_CLOTHING_STORE,1408.09,NETBANKING,2026-04-21 17:59:23.489187,FAILED,INSUFFICIENT_FUNDS,0,26,25,0.962,127,2983.56,1,1408.09
PAY_0000098,CUST_03399,DEV_CLOTHING_STORE,1200.66,UPI,2026-08-06 23:47:23.489187,FAILED,BANK_DECLINED,0,8,6,0.75,10,4151.32,0,0.0
PAY_0000099,CUST_01823,DEV_CLOTHING_STORE,1775.32,CARD,2026-03-04 10:18:23.489187,FAILED,INSUFFICIENT_FUNDS,0,46,40,0.87,90,1853.13,0,0.0
PAY_0000100,CUST_01029,DEV_CLOTHING_STORE,2323.27,WALLET,2026-07-04 22:10:23.489187,FAILED,INSUFFICIENT_FUNDS,0,35,34,0.971,109,3123.68,0,0.0
PAY_0000101,CUST_02007,DEV_CLOTHING_STORE,1873.45,NETBANKING,2026-07-29 22:38:23.489187,FAILED,BANK_DECLINED,0,19,15,0.789,20,3711.16,0,0.0
PAY_0000102,CUST_02946,DEV_CLOTHING_STORE,753.26,CARD,2026-07-22 03:33:23.489187,FAILED,UNKNOWN_ERROR,1,25,18,0.72,12,840.35,1,753.26
PAY_0000103,CUST_03125,DEV_CLOTHING_STORE,1324.85,CARD,2026-04-10 18:46:23.489187,FAILED,NETWORK_ERROR,1,5,5,1.0,56,628.56,1,1324.85
PAY_0000104,CUST_03074,DEV_CLOTHING_STORE,386.33,UPI,2026-07-29 19:16:23.489187,FAILED,INSUFFICIENT_FUNDS,2,4,2,0.5,124,8121.71,0,0.0
PAY_0000105,CUST_03315,DEV_CLOTHING_STORE,2955.74,UPI,2026-05-08 08:40:23.489187,FAILED,BANK_DECLINED,0,36,24,0.667,94,18613.02,1,2955.74
PAY_0000106,CUST_04634,DEV_CLOTHING_STORE,2154.45,WALLET,2026-06-18 12:55:23.489187,FAILED,CARD_EXPIRED,2,33,27,0.818,129,1742.66,1,2154.45
PAY_0000107,CUST_03157,DEV_CLOTHING_STORE,1863.53,UPI,2026-06-29 21:56:23.489187,FAILED,CARD_EXPIRED,0,27,24,0.889,70,610.7,1,1863.53
PAY_0000108,CUST_03732,DEV_CLOTHING_STORE,605.15,UPI,2026-06-20 06:03:23.489187,FAILED,CARD_EXPIRED,1,45,34,0.756,85,4482.57,0,0.0
PAY_0000109,CUST_04802,DEV_CLOTHING_STORE,922.24,NETBANKING,2026-05-25 02:00:23.489187,FAILED,UNKNOWN_ERROR,2,47,43,0.915,53,3848.49,0,0.0
PAY_0000110,CUST_04802,DEV_CLOTHING_STORE,1180.72,NETBANKING,2026-07-21 04:03:23.489187,FAILED,BANK_TIMEOUT,2,47,43,0.915,53,3848.49,1,1180.72
PAY_0000111,CUST_03261,DEV_CLOTHING_STORE,1752.6,WALLET,2026-05-29 12:14:23.489187,FAILED,NETWORK_ERROR,1,49,37,0.755,25,4627.95,0,0.0
PAY_0000112,CUST_01398,DEV_CLOTHING_STORE,3990.1,WALLET,2026-06-06 04:18:23.489187,FAILED,BANK_DECLINED,0,44,36,0.818,56,2819.0,1,3990.1
PAY_0000113,CUST_01497,DEV_CLOTHING_STORE,2853.41,CARD,2026-03-09 11:20:23.489187,FAILED,NETWORK_ERROR,1,25,23,0.92,24,1800.61,1,2853.41
PAY_0000114,CUST_00527,DEV_CLOTHING_STORE,335.6,NETBANKING,2026-07-09 19:18:23.489187,FAILED,UNKNOWN_ERROR,2,46,42,0.913,104,4615.33,0,0.0
PAY_0000115,CUST_00343,DEV_CLOTHING_STORE,14240.89,NETBANKING,2026-08-11 15:10:23.489187,FAILED,INSUFFICIENT_FUNDS,1,47,45,0.957,55,5540.21,0,0.0
PAY_0000116,CUST_02758,DEV_CLOTHING_STORE,1118.23,WALLET,2026-05-02 20:03:23.489187,FAILED,INSUFFICIENT_FUNDS,1,38,28,0.737,59,4823.88,0,0.0
PAY_0000117,CUST_00821,DEV_CLOTHING_STORE,848.3,UPI,2026-07-31 03:23:23.489187,FAILED,INSUFFICIENT_FUNDS,2,9,8,0.889,72,862.43,0,0.0
PAY_0000118,CUST_02037,DEV_CLOTHING_STORE,2529.28,UPI,2026-08-21 11:20:23.489187,FAILED,INSUFFICIENT_FUNDS,1,5,5,1.0,37,3746.06,1,2529.28
PAY_0000119,CUST_02951,DEV_CLOTHING_STORE,2603.72,UPI,2026-04-27 08:32:23.489187,FAILED,NETWORK_ERROR,1,49,37,0.755,179,21409.85,0,0.0
PAY_0000120,CUST_00823,DEV_CLOTHING_STORE,1792.62,UPI,2026-03-18 05:17:23.489187,FAILED,INSUFFICIENT_FUNDS,0,29,27,0.931,144,5314.38,1,1792.62
PAY_0000121,CUST_04496,DEV_CLOTHING_STORE,501.66,CARD,2026-03-25 23:16:23.489187,FAILED,BANK_DECLINED,2,38,32,0.842,18,12535.04,0,0.0
PAY_0000122,CUST_00865,DEV_CLOTHING_STORE,1492.03,NETBANKING,2026-04-04 01:29:23.489187,FAILED,CARD_EXPIRED,2,15,11,0.733,78,15979.16,0,0.0
PAY_0000123,CUST_01009,DEV_CLOTHING_STORE,1407.28,CARD,2026-08-11 13:39:23.489187,FAILED,INSUFFICIENT_FUNDS,2,29,21,0.724,24,4531.38,1,1407.28
PAY_0000124,CUST_02812,DEV_CLOTHING_STORE,2614.45,WALLET,2026-07-20 02:48:23.489187,FAILED,BANK_TIMEOUT,1,20,18,0.9,159,13671.83,1,2614.45
PAY_0000125,CUST_00719,DEV_CLOTHING_STORE,406.97,NETBANKING,2026-03-18 03:20:23.489187,FAILED,BANK_DECLINED,1,8,8,1.0,61,15227.45,0,0.0
PAY_0000126,CUST_00014,DEV_CLOTHING_STORE,374.26,NETBANKING,2026-07-18 03:03:23.489187,FAILED,CARD_EXPIRED,0,28,18,0.643,57,1622.32,0,0.0
PAY_0000127,CUST_04929,DEV_CLOTHING_STORE,7261.81,NETBANKING,2026-07-25 08:30:23.489187,FAILED,BANK_TIMEOUT,2,31,18,0.581,174,8881.47,1,7261.81
PAY_0000128,CUST_04928,DEV_CLOTHING_STORE,2498.03,NETBANKING,2026-05-25 09:34:23.489187,FAILED,UNKNOWN_ERROR,0,34,27,0.794,88,646.0,1,2498.03
PAY_0000129,CUST_04702,DEV_CLOTHING_STORE,1057.29,NETBANKING,2026-03-22 17:48:23.489187,FAILED,BANK_DECLINED,0,40,36,0.9,77,12214.75,0,0.0
PAY_0000130,CUST_01844,DEV_CLOTHING_STORE,1407.79,CARD,2026-02-26 20:52:23.489187,FAILED,INSUFFICIENT_FUNDS,1,27,22,0.815,126,9668.81,1,1407.79
PAY_0000131,CUST_03879,DEV_CLOTHING_STORE,2086.59,CARD,2026-06-30 13:50:23.489187,FAILED,BANK_DECLINED,1,2,1,0.5,144,5467.06,1,2086.59
PAY_0000132,CUST_02650,DEV_CLOTHING_STORE,1319.77,WALLET,2026-04-16 22:24:23.489187,FAILED,BANK_DECLINED,0,13,9,0.692,129,6628.18,1,1319.77
PAY_0000133,CUST_01603,DEV_CLOTHING_STORE,3509.74,WALLET,2026-08-14 23:00:23.489187,FAILED,UNKNOWN_ERROR,2,12,9,0.75,145,17826.16,0,0.0
PAY_0000134,CUST_00462,DEV_CLOTHING_STORE,2210.81,NETBANKING,2026-06-10 23:13:23.489187,FAILED,NETWORK_ERROR,0,15,12,0.8,124,1078.9,1,2210.81
PAY_0000135,CUST_03310,DEV_CLOTHING_STORE,16255.81,WALLET,2026-07-14 04:23:23.489187,FAILED,CARD_EXPIRED,2,19,14,0.737,154,8505.14,0,0.0
PAY_0000136,CUST_03799,DEV_CLOTHING_STORE,630.26,WALLET,2026-06-19 17:00:23.489187,FAILED,CARD_EXPIRED,2,27,20,0.741,46,9826.68,0,0.0
PAY_0000137,CUST_04808,DEV_CLOTHING_STORE,2618.04,WALLET,2026-04-18 06:13:23.489187,FAILED,INSUFFICIENT_FUNDS,0,20,17,0.85,174,2781.99,1,2618.04
PAY_0000138,CUST_04404,DEV_CLOTHING_STORE,2551.11,WALLET,2026-03-06 13:58:23.489187,FAILED,INSUFFICIENT_FUNDS,2,2,2,1.0,40,540.45,0,0.0
PAY_0000139,CUST_01017,DEV_CLOTHING_STORE,1458.82,WALLET,2026-07-18 16:08:23.489187,FAILED,NETWORK_ERROR,0,3,3,1.0,82,3481.11,1,1458.82
PAY_0000140,CUST_01690,DEV_CLOTHING_STORE,405.39,NETBANKING,2026-04-30 03:03:23.489187,FAILED,UNKNOWN_ERROR,0,28,23,0.821,173,1167.37,1,405.39
PAY_0000141,CUST_00001,DEV_CLOTHING_STORE,2919.32,WALLET,2026-03-20 09:41:23.489187,FAILED,INSUFFICIENT_FUNDS,2,42,36,0.857,29,2949.12,1,2919.32
PAY_0000142,CUST_02885,DEV_CLOTHING_STORE,1125.52,CARD,2026-08-16 05:41:23.489187,FAILED,BANK_TIMEOUT,2,24,15,0.625,125,6023.48,1,1125.52
